Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,target
19875,2016,"0,704918033",0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,250.0,1,1972.0,0.6,   2,13028,0
3403,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,1,1980.0,0.0,   .,74119,0
9039,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,2,,0.0,   .,62498,0
18578,2015,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2100.0,2,2011.0,0.0,   4,80228,0
13773,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,800.0,2,1960.0,0.0,   .,38138,0
4596,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,791.0,3,1960.0,0.0,   .,92004,0
8421,2012,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,7506.0,2,1982.0,0.3,   4,13209,1
14602,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1858.0,4,1960.0,0.0,   .,75111,0
14796,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1980.0,2,1960.0,0.0,   .,13209,0
1148,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,455.0,2,1980.0,0.0,   .,56258,0
9700,2014,"0,509589041",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,700.0,2,1920.0,0.0,   4,42218,0
8651,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,135.0,3,,0.0,   .,92025,0
3621,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3490.0,1,,0.0,   .,73198,0
1759,2013,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,1600.0,4,1904.0,0.0,   7,75114,1
4050,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,400.0,4,1950.0,0.0,   4,06088,0
13626,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2957.0,3,1980.0,0.0,   .,38185,1
11663,2015,1,0,V,N,1,O,1,N,N,N,N,N,AUTRE,IDENTIQUE,V,pi,1,350.0,1,2000.0,0.0,   2,74123,0
4748,2015,"0,832876712",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,690.0,1,1980.0,0.0,   .,43157,0
16012,2016,"0,163934426",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,5939.0,4,1987.0,0.0,   6,06083,0
7145,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,3,,0.0,   .,93001,1
13545,2012,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,4100.0,2,1963.0,0.0,   6,31555,1
6273,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2780.0,1,1980.0,0.0,   .,13106,1
7507,2012,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3640.0,4,1977.0,0.0,   5,06004,1
14450,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2900.0,2,1960.0,0.0,   .,78545,0
19813,2016,"0,99726776",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1670.0,4,1975.0,0.0,   5,06004,0
10290,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,630.0,3,,0.0,   .,83137,0
6145,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2600.0,1,1988.0,0.0,   .,05110,0
11387,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1200.0,2,2004.0,0.0,   4,62571,0
18122,2013,1,1,V,N,3,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,effpi,2,2650.0,4,1900.0,0.0,   8,75116,1
10930,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,2,1960.0,0.0,   .,57306,0
7795,2015,"0,41369863",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1600.0,1,1980.0,0.0,   .,42183,0
11615,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,2,1960.0,0.0,   .,56260,0
13620,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,3,,0.0,   .,33063,0
10013,2013,"0,747945205",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2961.0,2,1980.0,0.0,   .,66171,0
711,2015,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,675.0,3,,0.0,   .,94033,0
13522,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2000.0,1,1988.0,0.0,   .,05085,0
1012,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800.0,1,,0.0,   .,74042,0
15818,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,1,160.0,1,2009.0,0.0,   2,73257,0
15981,2012,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,1,421.0,1,1972.0,0.3,   3,74099,0
8595,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6000.0,4,,0.0,   .,06123,1
12914,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,940.0,1,1988.0,0.0,   .,74056,0
7468,2013,"0,41369863",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1232.0,3,1960.0,0.0,   .,92044,0
9258,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,725.0,1,1980.0,0.3,   4,72181,1
11652,2013,"0,747945205",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3788.0,2,1988.0,0.0,   .,24053,1
2753,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,900.0,2,1900.0,0.0,   4,77075,0
17410,2013,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1970.0,4,2002.0,0.0,   5,75120,1
5556,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7100.0,2,1980.0,0.0,   .,68278,1
9723,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,2,1960.0,0.0,   .,13206,0
3218,2014,"0,915068493",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,640.0,2,1960.0,0.0,   .,13206,1
6009,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,eff,1,1600.0,2,1954.0,0.0,   5,90010,0
436,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000.0,2,1960.0,0.0,   .,34324,1
16690,2016,"0,99726776",1,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,3500.0,4,1900.0,0.0,   8,75116,1
3569,2012,"0,915300546",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800.0,2,1980.0,0.0,   .,38931,0
2154,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2140.0,1,1980.0,0.0,   .,73004,1
2422,2016,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,5885.0,2,1970.0,0.0,   6,29039,0
2051,2014,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1600.0,2,,0.0,   .,38567,1
11994,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4000.0,3,1988.0,0.0,   .,2A004,0
18737,2014,"0,578082192",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,300.0,2,2012.0,0.3,   2,38067,0
12745,2014,1,1,V,N,V,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1160.0,3,1910.0,0.0,   5,93064,1
11370,2013,"0,41369863",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200.0,1,1980.0,0.0,   .,13005,0
7068,2016,"0,99726776",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4000.0,3,1970.0,0.0,   4,93032,0
4991,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1020.0,2,1960.0,0.0,   .,29085,0
17834,2013,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,750.0,1,1900.0,0.0,   4,86194,1
9301,2016,"0,663934426",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,830.0,4,,0.0,   .,75119,0
4190,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,916.0,3,1960.0,0.0,   .,92004,1
3672,2013,0,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,4,,0.0,   .,06073,0
10911,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2300.0,1,1988.0,0.0,   .,54431,1
6394,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,2,,0.0,   .,13205,1
6532,2014,"0,747945205",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550.0,3,1960.0,0.0,   .,94016,0
4413,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,1,1960.0,0.0,   .,50218,1
3274,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,494.0,1,1960.0,0.0,   .,91174,0
10820,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,520.0,2,1960.0,0.0,   .,66136,0
2791,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,490.0,2,1960.0,0.0,   .,29019,0
16537,2013,"0,832876712",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2600.0,3,1992.0,0.0,   5,33318,0
4298,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2050.0,1,1995.0,0.6,   2,13096,0
13546,2014,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,4100.0,2,1963.0,0.0,   6,31555,0
547,2014,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,1,450.0,1,1937.0,0.6,   4,44109,1
1184,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,410.0,1,1980.0,0.0,   .,86194,0
18351,2012,"0,75136612",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3700.0,3,1800.0,0.0,   3,33063,1
10749,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,527.0,1,1960.0,0.0,   .,35288,1
17663,2012,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,380.0,2,1900.0,0.3,   2,69029,0
3593,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,O,base,2,735.0,2,1988.0,0.0,   .,38314,0
2898,2013,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,1600.0,4,1960.0,0.0,   3,06153,0
16231,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,412.0,2,1920.0,0.0,   2,34172,0
7854,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000.0,2,1988.0,0.0,   .,24482,0
3711,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,447.0,1,1980.0,0.0,   .,91174,0
17163,2013,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,430.0,1,1850.0,0.6,   3,10387,0
7696,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800.0,3,,0.0,   .,92048,1
14860,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1100.0,3,1988.0,0.0,   .,94068,0
16467,2012,1,1,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,1,350.0,3,1930.0,0.3,   2,92026,0
15295,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3300.0,1,2001.0,1.5,   3,74224,1
6146,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3500.0,1,1988.0,0.0,   .,05110,1
10128,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1100.0,2,1960.0,0.0,   .,13206,0
14794,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,470.0,2,1960.0,0.0,   .,13205,0
2568,2016,"0,99726776",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,2650.0,2,1960.0,0.0,   5,63113,0
17751,2016,"0,99726776",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,10438.0,2,2011.0,0.0,   4,66136,0
5739,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,2,1980.0,0.0,   .,83069,0
12112,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4500.0,2,1960.0,0.3,   4,83115,1
12178,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1723.0,3,1988.0,0.0,   .,59599,0
8710,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,4,,0.0,   .,06152,0
13714,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,4,1980.0,0.0,   .,06067,0
12654,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500.0,3,,0.0,   .,93047,0
7646,2016,"0,415300546",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4000.0,4,1980.0,0.0,   .,06004,1
17661,2015,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,2369.0,3,1965.0,0.0,   5,93055,1
10381,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,540.0,1,1960.0,0.0,   .,74056,0
19354,2014,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,6658.0,2,1960.0,0.6,   7,95428,1
10944,2016,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,12970.0,4,1979.0,0.0,   5,06069,1
1544,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1230.0,1,1980.0,0.0,   .,36006,0
7031,2014,"0,821917808",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2000.0,2,1988.0,0.0,   .,67130,0
17022,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1350.0,1,1982.0,0.0,   4,13001,0
3358,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1200.0,3,1988.0,0.0,   .,67482,0
13871,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3339.0,2,1988.0,0.6,   5,83069,0
3645,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,325.0,3,1988.0,0.0,   .,93064,0
4588,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,2,1980.0,0.0,   .,56052,0
6959,2014,"0,915068493",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1041.0,1,1980.0,0.0,   .,12202,0
1932,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,425.0,2,1960.0,0.0,   .,13203,0
16105,2013,1,0,V,N,1,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,base,1,540.0,2,1900.0,0.0,   3,77215,0
10625,2016,"0,494535519",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3033.0,2,1980.0,0.0,   .,21231,0
9877,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500.0,2,1980.0,0.0,   .,63113,0
12102,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,265.0,4,1980.0,0.0,   .,75120,1
6171,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,390.0,2,1960.0,0.0,   .,13206,0
18810,2014,1,1,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,1060.0,3,1900.0,0.0,   6,67482,0
18554,2014,"0,246575342",1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,7973.0,3,2004.0,0.0,   6,94076,0
2359,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1930.0,2,1980.0,0.0,   4,38057,0
10306,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,8137.0,2,1960.0,0.6,   9,57463,0
11115,2015,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,2,1980.0,0.0,   .,83924,0
15795,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,350.0,2,1950.0,0.0,   3,83137,0
12904,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300.0,1,1988.0,0.0,   .,35093,0
17764,2016,"0,956284153",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1626.0,1,1950.0,0.3,   2,02173,0
3033,2014,1,0,V,N,V,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1200.0,2,1970.0,0.0,   2,34324,0
17556,2013,"0,580821918",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,488.0,1,1900.0,0.0,   5,87085,0
2242,2015,0,1,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,3482.0,4,,0.0,   .,06088,0
10138,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,435.0,2,1960.0,0.0,   .,13201,1
18045,2014,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1257.0,3,1960.0,0.3,   5,94002,0
3941,2016,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1517.0,1,1960.0,0.0,   5,16102,0
12358,2012,"0,366120219",0,N,V,V,V,V,V,V,V,V,V,V,V,O,base,2,250.0,2,1980.0,0.0,   .,59663,0
4031,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3104.0,1,1980.0,0.0,   .,54304,0
396,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,530.0,4,1949.0,0.0,   6,06069,0
14695,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2115.0,1,1988.0,0.0,   .,21054,0
3283,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,673.0,2,1960.0,0.0,   .,63113,0
7697,2013,"0,624657534",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1252.0,2,1960.0,0.0,   .,13203,0
17445,2013,1,1,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,V,2,8500.0,1,2005.0,0.0,   4,73143,0
7689,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,150.0,4,1960.0,0.0,   .,06088,0
3056,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,810.0,3,1980.0,0.0,   .,67482,0
15027,2016,"0,99726776",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1430.0,1,1980.0,0.0,   .,74173,0
13251,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3900.0,2,1980.0,0.0,   .,40273,0
1196,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,755.0,1,1980.0,0.0,   .,86194,0
19156,2015,"0,104109589",0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,1,2012.0,V,   .,,0
4036,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,450.0,2,1970.0,0.0,   3,66136,0
15168,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,3283.0,2,1980.0,0.3,   5,13208,0
7027,2015,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2609.0,2,1980.0,0.0,   .,83048,0
4067,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1550.0,1,1960.0,0.0,   .,91174,0
18746,2013,1,0,V,N,2,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,2400.0,1,1972.0,0.6,   5,13001,1
8652,2012,1,0,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,1,400.0,2,1900.0,0.0,   2,95563,0
14159,2013,"0,246575342",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1065.0,3,1960.0,0.0,   .,92020,0
15702,2016,"0,994535519",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1181.0,1,1990.0,0.0,   5,86194,1
5579,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1920.0,3,1960.0,0.0,   .,64445,1
15750,2014,"0,915068493",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,2,1494.0,2,2009.0,0.3,   2,34073,0
9278,2012,"0,163934426",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1636.0,4,,0.0,   .,75115,0
5280,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4433.0,3,,0.0,   .,64189,1
15613,2012,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2549.0,3,2007.0,0.0,   2,92049,0
3124,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1705.0,2,1960.0,0.0,   .,13201,1
17957,2012,0,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,350.0,4,1900.0,0.0,   4,06088,0
1015,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400.0,2,1980.0,0.0,   .,04088,0
8261,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1690.0,3,1800.0,0.0,   7,2B033,0
6728,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4858.0,1,1988.0,0.0,   .,74082,1
11435,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1850.0,3,1980.0,0.0,   .,67482,0
10766,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,510.0,4,1989.0,0.0,   4,06088,0
6087,2013,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1485.0,3,1960.0,0.0,   5,64445,0
5148,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650.0,2,1960.0,0.0,   .,90010,0
8908,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2500.0,4,1975.0,0.0,   6,06104,0
9110,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,3,,0.0,   .,59350,0
1888,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,8957.0,2,1980.0,0.0,   .,34324,1
17070,2012,1,1,V,N,3,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,951.0,4,1950.0,0.0,   8,75112,0
7493,2014,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1405.0,1,2004.0,0.0,   3,03321,0
1708,2012,1,1,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,effpi,2,1755.0,4,1880.0,0.0,   5,75118,0
19794,2015,"0,142465753",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,175.0,2,1900.0,0.0,   2,34259,0
4100,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1468.0,1,1988.0,0.0,   .,73285,0
2673,2012,1,0,V,N,1,O,1,N,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,615.0,1,1968.0,0.0,   3,74208,0
4522,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1981.0,2,1980.0,0.0,   .,14327,1
11688,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,160.0,4,1960.0,0.0,   .,06083,0
12555,2013,"0,328767123",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,263.0,2,1980.0,0.0,   .,34327,0
4735,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,335.0,3,1960.0,0.0,   .,59355,0
12388,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1250.0,2,1960.0,0.0,   .,13205,0
1311,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,2,,0.0,   .,21231,0
8318,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,70.0,4,,0.0,   .,06088,0
13303,2016,"0,795081967",0,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,pi,2,495.0,4,1920.0,0.6,   5,75120,0
429,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,440.0,2,,0.0,   .,13204,0
16776,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,2100.0,1,2002.0,0.3,   4,74143,0
13501,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1240.0,4,1960.0,0.0,   .,75117,0
14846,2013,"0,849315068",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500.0,2,1960.0,0.0,   .,13201,0
1491,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1486.0,2,1980.0,0.0,   .,21231,0
14963,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1960.0,V,   .,,0
3564,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2110.0,3,,0.0,   .,92004,0
10582,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,487.0,2,1900.0,0.3,   4,13205,0
9806,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1600.0,2,1960.0,0.0,   .,13204,0
14282,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,20940.0,2,1969.0,0.3,   4,30133,1
18672,2013,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,1584.0,1,1970.0,0.0,   3,17300,0
9866,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2400.0,2,1980.0,0.0,   .,83123,0
5524,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2880.0,1,1980.0,0.0,   .,88196,0
